pause_start,pause_end,duration_sec
2026-06-17T12:32:01,2026-06-17T12:32:11,10.69
2026-06-17T12:32:12,2026-06-17T12:32:17,4.94
2026-06-17T12:32:25,2026-06-17T12:32:28,2.47
2026-06-17T12:32:35,2026-06-17T12:32:37,2.46
2026-06-17T12:32:42,2026-06-17T12:32:44,1.64
2026-06-17T12:32:45,2026-06-17T12:32:47,2.48
2026-06-17T12:32:50,2026-06-17T12:32:52,2.56
2026-06-17T12:33:00,2026-06-17T12:33:02,1.61
2026-06-17T12:33:08,2026-06-17T12:33:11,2.55
2026-06-17T12:33:12,2026-06-17T12:33:14,1.61
2026-06-17T12:33:16,2026-06-17T12:33:17,1.68
2026-06-17T12:33:22,2026-06-17T12:33:27,4.95
2026-06-17T12:33:30,2026-06-17T12:33:32,2.53
2026-06-17T12:33:34,2026-06-17T12:33:36,1.60
2026-06-17T12:33:37,2026-06-17T12:33:40,2.39
2026-06-17T12:33:45,2026-06-17T12:33:48,3.21
2026-06-17T12:33:49,2026-06-17T12:33:52,3.27
2026-06-17T12:33:53,2026-06-17T12:33:57,4.21
2026-06-17T12:33:58,2026-06-17T12:34:01,3.34
2026-06-17T12:34:03,2026-06-17T12:34:06,3.34
2026-06-17T12:34:09,2026-06-17T12:34:11,1.66
2026-06-17T12:34:15,2026-06-17T12:34:17,2.53
2026-06-17T12:34:23,2026-06-17T12:34:25,1.66
2026-06-17T12:34:26,2026-06-17T12:34:28,2.44
2026-06-17T12:34:30,2026-06-17T12:34:32,1.66
2026-06-17T12:34:36,2026-06-17T12:34:38,1.67
2026-06-17T12:34:41,2026-06-17T12:34:43,2.52
2026-06-17T12:34:46,2026-06-17T12:34:48,1.74
2026-06-17T12:34:51,2026-06-17T12:34:58,6.80
2026-06-17T12:34:59,2026-06-17T12:35:01,1.68
2026-06-17T12:35:01,2026-06-17T12:35:05,3.33
2026-06-17T12:35:07,2026-06-17T12:35:11,3.31
2026-06-17T12:35:16,2026-06-17T12:35:18,1.67
2026-06-17T12:35:22,2026-06-17T12:35:24,2.56
2026-06-17T12:35:29,2026-06-17T12:35:32,2.48
2026-06-17T12:35:37,2026-06-17T12:35:38,1.67
2026-06-17T12:35:51,2026-06-17T12:35:53,2.53
2026-06-17T12:35:54,2026-06-17T12:35:56,1.74
2026-06-17T12:35:59,2026-06-17T12:36:01,2.47
2026-06-17T12:36:03,2026-06-17T12:36:05,1.67
2026-06-17T12:36:05,2026-06-17T12:36:07,1.68
2026-06-17T12:36:10,2026-06-17T12:36:15,5.87
2026-06-17T12:36:18,2026-06-17T12:36:20,1.67
2026-06-17T12:36:21,2026-06-17T12:36:25,4.13
2026-06-17T12:36:27,2026-06-17T12:36:30,2.47
2026-06-17T12:36:37,2026-06-17T12:36:41,4.21
2026-06-17T12:36:42,2026-06-17T12:36:45,2.48
2026-06-17T12:36:46,2026-06-17T12:36:49,2.47
2026-06-17T12:36:50,2026-06-17T12:36:51,1.67
2026-06-17T12:36:55,2026-06-17T12:37:00,4.93
2026-06-17T12:37:02,2026-06-17T12:37:04,1.66
2026-06-17T12:37:12,2026-06-17T12:37:15,3.35
2026-06-17T12:37:30,2026-06-17T12:37:33,2.52
2026-06-17T12:37:50,2026-06-17T12:37:51,1.67
2026-06-17T12:37:55,2026-06-17T12:37:59,4.07
2026-06-17T12:38:07,2026-06-17T12:38:09,1.66
2026-06-17T12:38:12,2026-06-17T12:38:14,1.67
2026-06-17T12:38:16,2026-06-17T12:38:18,1.60
2026-06-17T12:38:25,2026-06-17T12:38:49,24.16
2026-06-17T12:38:53,2026-06-17T12:38:58,4.94
2026-06-17T12:39:03,2026-06-17T12:39:05,1.66
2026-06-17T12:39:06,2026-06-17T12:39:08,1.68
2026-06-17T12:39:10,2026-06-17T12:39:12,1.73
2026-06-17T12:39:13,2026-06-17T12:39:17,4.14
2026-06-17T12:39:18,2026-06-17T12:39:20,1.68
2026-06-17T12:39:22,2026-06-17T12:39:34,11.75
2026-06-17T12:40:01,2026-06-17T12:40:04,2.52
2026-06-17T12:40:05,2026-06-17T12:40:10,5.07
2026-06-17T12:40:11,2026-06-17T12:40:13,1.60
2026-06-17T12:40:15,2026-06-17T12:40:18,3.27
2026-06-17T12:40:19,2026-06-17T12:40:20,1.60
2026-06-17T12:40:23,2026-06-17T12:40:25,2.48
2026-06-17T12:40:27,2026-06-17T12:40:29,2.46
2026-06-17T12:40:33,2026-06-17T12:40:34,1.67
2026-06-17T12:40:43,2026-06-17T12:40:48,5.01
2026-06-17T12:40:49,2026-06-17T12:40:54,5.07
2026-06-17T12:41:06,2026-06-17T12:41:08,1.73
2026-06-17T12:41:18,2026-06-17T12:41:20,1.74
2026-06-17T12:41:27,2026-06-17T12:41:29,2.47
2026-06-17T12:41:39,2026-06-17T12:41:42,2.41
2026-06-17T12:41:53,2026-06-17T12:41:54,1.66
2026-06-17T12:42:05,2026-06-17T12:42:08,2.47
2026-06-17T12:42:14,2026-06-17T12:42:16,1.67
2026-06-17T12:42:21,2026-06-17T12:42:24,3.35
2026-06-17T12:42:25,2026-06-17T12:42:27,2.53
2026-06-17T12:42:33,2026-06-17T12:42:35,2.54
2026-06-17T12:42:38,2026-06-17T12:42:40,1.74
2026-06-17T12:42:42,2026-06-17T12:42:44,2.47
2026-06-17T12:42:47,2026-06-17T12:42:50,3.27
2026-06-17T12:42:54,2026-06-17T12:43:05,10.81
2026-06-17T12:43:07,2026-06-17T12:43:09,1.68
2026-06-17T12:43:23,2026-06-17T12:43:27,3.27
2026-06-17T12:43:27,2026-06-17T12:43:29,1.67
2026-06-17T12:43:35,2026-06-17T12:43:40,4.94
2026-06-17T12:43:42,2026-06-17T12:43:43,1.61
2026-06-17T12:43:49,2026-06-17T12:43:51,2.47
2026-06-17T12:43:59,2026-06-17T12:44:08,9.08
2026-06-17T12:44:09,2026-06-17T12:44:13,4.09
2026-06-17T12:44:14,2026-06-17T12:44:23,9.15
2026-06-17T12:44:25,2026-06-17T12:44:32,7.41
2026-06-17T12:44:35,2026-06-17T12:44:42,7.34
2026-06-17T12:44:43,2026-06-17T12:44:45,2.54
