timestamp,hr_bpm,snr,rmssd_ms_trend,resp_per_min,face_idx,voice_db,voice_pitch_hz,voice_speech_ratio,voice_tempo_per_min,voice_pauses_per_min,voice_avg_pause_sec
2026-06-01T11:08:05,113.1,1.8,,11.3,1,-50.3,130,0.472,37.5,15.00,1.76
2026-06-01T11:08:06,146.7,1.3,391.9,9.8,2,-58.9,119,0.500,47.6,13.59,1.76
2026-06-01T11:08:07,112.1,1.3,463.8,8.6,2,-19.8,125,0.497,49.7,12.42,1.76
2026-06-01T11:08:08,115.5,1.3,357.6,7.7,2,-33.8,131,0.537,45.7,11.43,1.76
2026-06-01T11:08:08,113.2,1.2,331.2,7.5,2,-79.9,136,0.520,42.4,10.59,1.76
2026-06-01T11:08:09,150.8,1.2,314.4,7.5,1,-24.3,142,0.532,44.4,9.87,1.76
2026-06-01T11:08:10,150.8,1.2,306.4,7.5,2,-19.9,143,0.562,41.6,9.24,1.76
2026-06-01T11:08:11,151.0,1.2,202.7,7.6,2,-31.3,144,0.590,38.9,8.64,1.76
2026-06-01T11:08:12,113.2,1.2,201.6,7.5,2,-45.9,195,0.570,44.8,8.15,1.76
2026-06-01T11:08:13,113.0,1.2,233.8,7.5,1,-40.5,200,0.572,46.3,7.72,1.76
2026-06-01T11:08:13,112.7,1.2,242.0,7.5,1,-69.9,203,0.566,43.9,7.32,1.76
2026-06-01T11:08:14,143.8,1.2,237.9,7.6,1,-39.6,205,0.567,45.1,6.94,1.76
2026-06-01T11:08:15,143.3,1.2,269.8,7.5,1,-40.0,205,0.588,42.9,6.60,1.76
2026-06-01T11:08:16,143.3,1.2,268.1,7.5,1,-34.2,205,0.586,44.2,6.31,1.76
2026-06-01T11:08:17,142.7,1.2,268.0,7.5,1,-18.2,211,0.599,45.5,6.07,1.76
2026-06-01T11:08:18,142.6,1.2,273.5,7.5,2,-32.4,213,0.615,43.7,5.82,1.76
2026-06-01T11:08:19,143.2,1.2,278.9,7.5,2,-60.7,215,0.606,44.8,5.60,1.76
2026-06-01T11:08:19,142.7,1.2,291.7,7.5,2,-31.6,216,0.601,45.8,5.39,1.76
2026-06-01T11:08:20,135.5,1.2,288.5,7.5,1,-60.5,216,0.601,46.7,5.19,1.76
2026-06-01T11:08:21,135.5,1.2,289.8,7.5,1,-30.4,216,0.590,47.8,5.03,1.76
2026-06-01T11:08:22,60.2,1.2,278.2,7.5,1,-24.1,216,0.604,46.1,4.86,1.76
2026-06-01T11:08:23,60.1,1.9,304.4,7.5,1,-23.1,216,0.613,47.1,4.71,1.76
2026-06-01T11:08:23,60.1,7.0,328.9,7.5,1,-21.5,216,0.625,45.6,4.56,1.76
